N,P,K,temperature,humidity,ph,rainfall,label
93,47,37,24.07,68.75,6.53,192.23,jute
24,18,11,26.68,92.18,6.9,111.1,orange
76,48,37,23.88,81.98,6.72,240.1,rice
21,25,10,21.72,91.47,6.19,115.54,orange
29,52,80,21.24,16.93,7.37,68.59,chickpea
103,84,48,28.48,77.58,5.86,99.28,banana
29,135,203,30.43,82.14,5.95,69.37,grapes
37,76,19,20.04,64.24,6.87,43.03,lentil
107,20,48,25.58,88.81,6.65,46.25,watermelon
54,60,52,23.14,92.99,6.97,233.85,papaya
34,50,52,36.32,91.74,6.84,103.38,papaya
33,44,22,28.55,54.02,6.97,28.24,mothbeans
112,41,22,22.2,82.36,6.94,80.29,cotton
23,67,81,17.3,16.95,7.74,86.62,chickpea
19,70,19,20.7,19.97,5.73,90.97,kidneybeans
35,47,25,26.31,55.26,6.36,69.28,mothbeans
41,138,200,22.63,90.26,5.85,113.46,apple
97,47,40,23.37,76.18,6.95,190.81,jute
31,75,77,20.36,17.65,7.4,79.79,chickpea
121,82,51,27.62,83.5,6.45,106.36,banana
27,122,199,23.6,90.33,5.66,110.33,apple
32,46,23,36.06,88.51,7.06,49.15,mungbean
120,51,18,23.63,80.1,5.75,85.58,cotton
95,31,26,26.6,64.34,6.57,131.34,coffee
17,13,37,23.44,88.26,6.37,106.48,pomegranate
27,67,19,20.19,21.34,5.94,139.64,kidneybeans
26,7,32,27.76,93.69,6.43,138.65,coconut
98,31,32,24.62,67.47,6.75,165.26,coffee
98,91,49,31.23,78.72,5.62,106.79,banana
19,57,18,33.21,57.51,6.4,144.45,pigeonpeas
26,42,22,29.94,86.06,6.82,57.91,mungbean
55,62,20,32.8,72.43,6.97,70.17,blackgram
12,61,23,26.4,67.86,6.77,46.14,lentil
24,25,8,23.08,90.91,6.25,105.15,orange
21,22,30,31.01,48.45,6.14,92.34,mango
30,52,20,30.37,83.92,6.55,44.35,mungbean
66,51,39,24.5,85.18,6.76,271.81,rice
28,14,28,27.0,94.72,6.04,160.88,coconut
44,60,50,31.77,93.48,6.84,166.05,papaya
122,54,17,24.09,74.95,7.22,69.91,cotton
31,134,200,25.07,80.82,6.47,70.32,grapes
39,70,20,34.94,53.61,7.16,188.19,pigeonpeas
21,39,15,29.56,58.0,6.25,51.83,mothbeans
21,70,23,19.68,66.67,6.26,44.64,lentil
30,142,195,22.47,92.65,5.9,113.21,apple
116,81,48,26.18,80.99,5.77,111.97,banana
34,134,202,23.69,90.43,6.03,106.46,apple
110,18,31,25.41,64.07,6.75,156.09,coffee
43,72,21,24.52,62.45,6.96,71.94,blackgram
111,26,49,26.75,92.87,6.56,21.92,muskmelon
42,67,84,17.51,15.85,7.92,70.09,chickpea
38,12,37,23.6,88.66,6.27,108.34,pomegranate
88,29,33,24.66,66.55,6.96,140.65,coffee
98,24,48,27.5,93.82,6.21,26.85,muskmelon
14,125,200,28.64,82.63,5.99,68.36,grapes
124,45,20,23.17,79.09,6.56,71.51,cotton
97,46,38,27.75,85.39,6.84,264.53,rice
124,46,17,26.39,82.69,7.44,76.02,cotton
88,36,37,24.37,76.84,6.87,169.93,jute
26,76,77,16.71,19.71,7.92,75.39,chickpea
22,74,19,25.39,64.13,6.6,44.14,lentil
112,44,20,24.45,83.43,7.39,64.66,cotton
17,25,29,27.16,98.84,6.59,166.83,coconut
32,72,80,19.26,18.51,5.96,75.5,chickpea
78,54,18,25.08,66.76,5.72,90.1,maize
110,17,49,26.96,84.34,6.43,47.67,watermelon
17,131,205,23.17,91.28,5.88,120.72,apple
26,131,199,21.59,94.99,5.86,110.27,apple
23,120,201,15.93,81.68,5.71,69.42,grapes
32,12,12,27.28,92.2,6.55,106.47,orange
73,34,18,19.28,67.93,6.98,108.23,maize
28,60,78,19.04,19.53,7.82,83.63,chickpea
96,11,54,23.9,86.75,6.67,49.1,watermelon
48,59,49,25.49,92.99,6.8,135.29,papaya
29,19,39,19.03,88.57,6.0,104.68,pomegranate
41,61,22,26.03,67.19,6.64,45.42,lentil
87,27,32,24.82,62.49,6.6,178.36,coffee
110,17,51,28.5,93.35,6.4,23.48,muskmelon
23,27,7,33.92,94.98,6.91,111.32,orange
34,69,78,21.44,16.74,7.48,83.49,chickpea
28,76,19,19.08,22.0,5.82,124.18,kidneybeans
16,59,22,32.11,44.04,5.52,173.85,pigeonpeas
36,60,77,19.36,17.84,7.38,83.38,chickpea
34,63,26,21.18,19.49,6.04,72.89,kidneybeans
101,23,45,27.95,92.59,6.29,25.27,muskmelon
29,76,16,19.24,21.07,6.0,128.1,kidneybeans
21,126,200,18.64,82.05,5.97,71.25,grapes
59,50,37,21.34,80.06,6.22,257.05,rice
29,65,22,21.28,68.34,6.64,47.1,lentil
74,49,41,23.8,73.63,7.22,195.01,jute
42,68,85,20.1,19.5,6.77,71.95,chickpea
38,131,200,21.04,81.97,5.75,67.13,grapes
82,44,18,23.38,63.36,6.0,75.39,maize
92,80,51,27.33,78.73,6.24,103.55,banana
33,138,203,26.28,82.99,5.92,72.52,grapes
88,24,52,28.32,92.23,6.37,21.89,muskmelon
53,48,48,40.09,92.03,6.94,205.04,papaya
89,49,20,26.44,60.27,5.81,77.52,maize
81,25,33,23.77,64.56,6.8,131.19,coffee
31,62,22,29.42,66.23,6.81,41.33,lentil
21,20,26,26.77,90.59,6.37,173.23,coconut
86,62,42,22.43,83.6,6.29,268.57,rice
25,63,21,32.46,51.84,6.57,144.75,pigeonpeas
26,133,201,32.46,83.1,6.62,70.55,grapes
86,56,18,21.78,65.24,6.14,84.35,maize
27,65,18,19.66,20.47,5.75,140.48,kidneybeans
94,75,47,26.61,77.67,6.08,106.36,banana
27,147,201,23.1,93.26,5.85,112.85,apple
79,22,34,26.38,71.62,6.7,149.93,coffee
23,53,21,32.02,51.93,8.22,71.11,mothbeans
29,19,42,22.22,87.84,6.2,105.31,pomegranate
22,77,21,33.39,61.34,6.36,165.57,pigeonpeas
32,5,35,26.55,93.24,5.75,133.43,coconut
70,51,41,24.47,76.38,6.57,150.09,jute
126,53,26,24.45,81.35,7.25,88.44,cotton
108,17,51,24.08,83.17,6.28,43.13,watermelon
48,83,17,29.21,72.5,6.99,71.68,blackgram
25,140,195,22.2,94.21,5.48,123.65,apple
26,133,203,23.55,81.39,6.45,69.61,grapes
121,44,19,23.35,80.77,6.52,71.2,cotton
56,57,48,30.6,93.76,6.77,214.94,papaya
20,63,18,18.8,22.17,5.61,118.73,kidneybeans
21,11,29,26.66,95.76,6.15,170.69,coconut
112,23,48,24.98,80.83,6.51,52.06,watermelon
43,58,47,31.25,91.82,6.87,164.54,papaya
37,130,198,23.94,92.99,6.35,110.72,apple
88,36,44,23.94,82.15,7.0,259.32,rice
83,47,17,20.61,64.09,6.4,71.88,maize
33,27,31,30.13,49.5,4.62,94.22,mango
99,17,52,28.37,94.25,6.26,24.86,muskmelon
30,73,20,29.06,59.72,5.97,113.5,pigeonpeas
28,60,20,17.14,20.05,5.63,112.49,kidneybeans
47,65,46,38.33,93.02,6.85,221.52,papaya
97,27,29,24.85,61.71,6.46,147.3,coffee
98,45,17,25.47,71.18,6.29,67.06,maize
29,19,38,23.66,86.47,6.4,107.84,pomegranate
36,65,84,19.19,15.13,7.54,66.39,chickpea
25,32,18,30.62,87.12,6.69,46.12,mungbean
40,17,32,32.4,49.5,6.14,94.22,mango
37,11,12,13.49,91.61,6.71,112.17,orange
35,35,26,29.53,52.31,4.95,92.91,mango
22,20,11,28.38,92.72,6.6,115.01,orange
80,48,21,22.43,69.46,6.87,86.01,maize
138,41,20,23.91,82.62,6.54,65.61,cotton
49,67,20,28.74,68.06,7.24,65.15,blackgram
18,27,30,25.57,93.12,6.32,151.4,coconut
31,43,14,33.61,83.07,6.65,31.97,mungbean
22,40,21,28.25,58.62,7.6,57.27,mothbeans
95,48,43,22.8,83.14,6.33,285.82,rice
27,65,18,34.98,44.74,7.84,176.74,pigeonpeas
78,59,37,23.02,81.28,6.66,233.24,rice
43,136,199,22.71,91.52,5.57,109.97,apple
94,54,38,24.6,72.55,6.59,168.5,jute
25,10,6,16.58,93.12,7.0,110.87,orange
19,134,203,24.28,92.46,5.88,115.14,apple
121,41,19,24.72,80.78,7.45,77.02,cotton
28,12,8,25.81,93.83,5.83,108.9,orange
88,54,16,20.89,65.98,6.38,96.97,maize
18,77,21,25.66,64.29,6.75,39.38,lentil
92,79,55,25.76,81.05,5.95,98.88,banana
94,14,52,24.37,85.59,6.71,56.54,watermelon
41,19,26,24.92,97.02,5.72,174.39,coconut
19,72,23,21.53,20.1,5.68,95.1,kidneybeans
52,65,22,31.05,68.94,7.14,68.15,blackgram
112,79,49,25.88,81.91,5.82,106.91,banana
103,19,29,24.2,53.2,5.85,125.91,coffee
47,69,24,28.06,66.8,6.74,71.43,blackgram
108,22,50,27.3,94.06,6.47,26.02,muskmelon
97,28,26,26.21,58.71,6.88,150.36,coffee
34,123,201,22.0,92.13,6.02,107.77,apple
94,10,48,27.84,91.76,6.49,20.08,muskmelon
23,66,20,34.04,56.17,6.45,134.73,pigeonpeas
91,7,49,28.41,92.64,6.35,21.2,muskmelon
48,60,18,30.14,67.47,7.6,68.29,blackgram
29,74,20,24.75,69.07,7.26,50.27,lentil
28,39,28,29.02,50.0,5.47,93.58,mango
91,83,49,31.19,79.54,5.83,109.62,banana
103,79,48,29.85,77.62,6.02,95.71,banana
41,64,49,42.1,91.83,6.83,70.25,papaya
21,10,40,19.27,88.83,5.72,106.95,pomegranate
87,21,52,28.85,92.08,6.26,24.84,muskmelon
32,28,28,26.4,94.68,5.95,190.54,coconut
96,55,38,24.43,74.26,6.83,180.74,jute
38,27,30,27.05,92.74,5.75,220.73,coconut
34,25,28,27.06,46.31,5.8,94.14,mango
22,129,198,23.19,94.4,6.08,103.84,apple
28,41,18,29.61,50.76,6.71,28.17,mothbeans
82,43,40,25.69,84.49,6.46,225.25,rice
75,54,34,23.81,85.36,6.36,281.75,rice
85,56,41,23.27,81.25,7.23,177.66,jute
29,59,20,18.71,21.85,5.88,122.71,kidneybeans
23,31,30,31.59,50.65,5.58,95.88,mango
79,44,20,23.8,59.89,6.16,70.42,maize
44,65,47,32.36,94.39,6.78,172.35,papaya
106,27,52,27.94,91.4,6.21,24.91,muskmelon
33,14,12,25.95,92.25,6.47,105.77,orange
109,17,52,27.38,91.6,6.1,25.36,muskmelon
38,59,17,21.33,62.38,7.13,56.61,lentil
74,58,43,24.68,79.98,6.86,187.38,jute
34,29,16,23.85,91.91,7.02,110.65,orange
38,71,76,17.67,20.24,7.23,65.15,chickpea
29,75,80,19.54,19.11,6.47,79.46,chickpea
17,141,200,21.65,92.59,6.29,105.13,apple
112,16,50,26.63,86.9,6.34,37.5,watermelon
30,19,7,14.63,94.54,6.89,107.87,orange
71,43,41,19.79,85.9,6.54,222.46,rice
113,29,30,23.67,47.5,6.39,130.93,coffee
40,68,74,18.86,21.03,8.16,75.78,chickpea
23,58,19,35.85,62.68,6.16,170.33,pigeonpeas
114,41,18,22.35,76.8,6.6,86.0,cotton
41,20,32,28.28,46.45,6.01,96.48,mango
35,27,28,33.63,44.67,6.45,96.83,mango
79,50,37,24.83,78.94,6.87,173.06,jute
18,19,27,25.85,98.31,5.59,217.4,coconut
30,21,9,21.21,93.58,7.23,110.14,orange
87,39,43,25.22,76.82,6.85,167.01,jute
111,90,51,27.43,80.66,6.28,104.6,banana
18,31,29,26.51,97.02,6.07,199.88,coconut
29,61,78,17.77,15.53,7.7,64.47,chickpea
115,13,50,28.09,90.76,6.46,26.33,muskmelon
101,78,51,26.87,81.15,5.67,114.91,banana
100,83,46,28.17,79.83,5.86,118.27,banana
22,128,200,22.3,91.4,6.17,102.16,apple
27,18,39,22.22,90.09,7.1,107.56,pomegranate
13,132,201,17.97,82.37,6.08,71.44,grapes
121,18,51,25.07,82.67,6.44,61.38,watermelon
29,54,17,26.97,43.48,7.15,51.32,mothbeans
30,54,14,34.14,86.87,6.73,41.97,mungbean
74,57,17,21.85,73.71,5.5,99.86,maize
25,77,22,18.72,19.83,5.73,99.6,kidneybeans
89,32,18,21.07,68.91,6.32,90.93,maize
21,23,46,21.4,86.54,6.83,103.81,pomegranate
16,68,16,16.73,21.13,5.73,128.11,kidneybeans
82,50,35,24.49,71.95,6.8,180.79,jute
25,58,23,25.3,18.41,5.72,102.52,kidneybeans
89,52,37,24.98,82.49,6.48,231.18,rice
32,71,24,26.21,63.31,6.69,47.05,lentil
37,32,34,31.4,50.85,6.31,91.7,mango
50,63,48,22.54,94.99,6.96,209.64,papaya
51,56,47,31.03,93.58,6.87,165.0,papaya
24,19,13,19.5,92.32,6.63,118.41,orange
25,119,202,28.66,83.08,5.88,73.35,grapes
26,24,37,24.0,87.53,6.43,103.2,pomegranate
24,71,20,19.68,20.96,5.67,85.39,kidneybeans
30,62,75,18.95,14.25,7.79,73.21,chickpea
25,14,28,27.28,97.96,6.11,153.68,coconut
90,24,51,27.47,92.29,6.31,29.72,muskmelon
29,133,205,28.84,81.91,5.6,69.33,grapes
105,85,50,26.01,75.83,6.02,102.22,banana
23,131,200,23.05,92.2,5.7,101.89,apple
27,8,13,26.5,91.68,7.14,106.73,orange
34,16,26,25.78,95.09,6.01,124.03,coconut
19,45,24,31.59,54.81,9.37,66.09,mothbeans
59,47,47,31.42,95.37,7.03,120.21,papaya
27,47,23,29.19,54.35,3.53,47.82,mothbeans
26,43,19,35.9,89.35,6.64,45.27,mungbean
104,50,20,23.43,81.71,6.84,99.64,cotton
79,43,39,22.48,79.59,6.54,247.5,rice
18,46,21,28.34,58.81,8.74,51.55,mothbeans
25,59,20,28.01,55.26,5.36,33.98,mothbeans
23,71,24,20.88,58.96,6.42,45.5,lentil
26,22,12,16.76,93.37,7.19,111.82,orange
36,63,16,18.8,18.98,5.96,73.78,kidneybeans
25,72,20,26.31,58.51,6.07,154.6,pigeonpeas
91,84,47,27.62,76.65,6.02,96.13,banana
28,17,26,26.2,94.74,5.87,173.52,coconut
21,128,200,20.79,93.18,6.36,108.09,apple
73,51,41,23.92,72.39,7.1,161.89,jute
123,51,19,24.86,80.9,7.1,80.37,cotton
96,30,50,26.93,85.72,6.25,50.57,watermelon
100,17,50,27.9,93.37,6.75,21.34,muskmelon
96,95,52,26.39,80.4,5.79,111.71,banana
30,76,78,19.33,20.05,8.47,71.16,chickpea
22,63,18,23.48,63.81,6.16,44.49,lentil
20,49,20,28.72,60.7,8.26,42.45,mothbeans
30,47,20,31.46,83.4,6.73,53.77,mungbean
24,31,26,33.93,49.85,5.48,91.38,mango
26,49,14,32.32,91.25,6.46,49.54,mungbean
20,64,23,39.38,62.85,5.62,133.42,pigeonpeas
31,19,29,26.81,48.34,6.09,94.75,mango
25,19,33,26.37,92.14,6.14,172.95,coconut
53,53,44,22.55,95.08,6.76,204.61,papaya
29,24,30,31.09,47.09,5.48,95.71,mango
20,29,10,18.38,93.97,7.06,119.57,orange
29,47,21,30.83,48.74,7.43,32.94,mothbeans
100,25,46,28.03,90.77,6.65,25.73,muskmelon
41,64,18,28.47,60.95,6.95,71.69,blackgram
111,23,49,24.91,84.34,6.49,44.15,watermelon
30,43,20,31.82,87.43,6.77,49.42,mungbean
25,64,22,19.61,23.98,5.57,99.43,kidneybeans
29,23,31,28.01,92.58,6.51,218.64,coconut
29,65,20,31.15,59.73,6.36,150.82,pigeonpeas
40,81,76,18.81,16.19,7.78,71.3,chickpea
16,28,30,28.26,53.33,5.83,88.31,mango
119,40,19,26.22,83.63,7.26,66.5,cotton
19,65,23,31.36,53.27,5.86,135.8,pigeonpeas
19,46,19,34.86,80.62,6.59,41.93,mungbean
108,9,55,26.47,84.42,6.96,50.83,watermelon
99,18,29,23.48,60.44,6.43,147.88,coffee
67,44,41,24.16,73.72,6.29,195.13,jute
57,45,51,40.27,92.86,6.9,85.02,papaya
75,29,28,25.7,69.94,7.02,139.4,coffee
22,44,22,31.99,84.69,6.45,63.12,mungbean
34,24,9,15.37,95.57,6.53,110.55,orange
34,75,19,20.32,67.16,6.73,48.05,lentil
27,127,201,21.91,91.13,6.17,114.63,apple
24,70,77,17.82,21.19,7.67,68.97,chickpea
30,62,20,19.35,20.63,5.6,115.44,kidneybeans
23,23,34,26.72,96.2,5.45,170.73,coconut
22,69,20,21.49,62.43,6.8,56.53,lentil
28,133,196,21.88,92.19,5.87,108.0,apple
23,74,23,31.83,46.19,5.72,156.93,pigeonpeas
95,35,30,24.75,58.62,6.56,169.15,coffee
31,8,31,26.14,91.13,5.82,195.21,coconut
20,34,30,29.3,47.99,5.12,97.59,mango
36,29,28,30.71,49.87,4.64,95.83,mango
22,68,20,19.15,22.32,5.74,116.9,kidneybeans
24,65,17,20.69,21.71,5.77,119.76,kidneybeans
132,46,23,23.45,79.67,6.7,75.29,cotton
30,41,19,31.45,83.65,6.4,40.71,mungbean
74,48,41,23.56,87.84,6.56,230.55,rice
124,45,24,23.05,80.51,6.69,68.73,cotton
57,62,47,21.17,92.08,6.89,76.9,papaya
31,59,21,18.5,23.3,5.75,93.67,kidneybeans
18,22,28,35.51,56.25,5.62,94.76,mango
98,34,27,26.8,49.95,7.35,129.52,coffee
34,34,30,33.05,50.08,4.83,96.99,mango
27,13,31,26.48,93.07,6.4,187.64,coconut
15,71,21,28.76,51.05,6.05,131.62,pigeonpeas
88,14,30,27.61,64.31,6.2,124.07,coffee
113,13,48,27.66,91.08,6.46,25.6,muskmelon
33,20,10,32.4,94.07,7.2,106.28,orange
19,24,44,23.47,88.04,7.19,105.62,pomegranate
30,63,23,33.31,61.52,6.92,157.0,pigeonpeas
93,32,30,24.98,60.62,7.07,193.92,coffee
103,23,50,27.35,90.41,6.31,24.5,muskmelon
23,23,43,21.05,87.31,6.19,99.23,pomegranate
78,46,23,21.04,57.4,6.74,90.18,maize
25,73,19,24.31,21.04,5.73,68.76,kidneybeans
25,26,36,22.23,87.52,6.12,109.95,pomegranate
106,27,32,25.21,58.44,6.34,132.3,coffee
33,62,77,19.88,17.05,7.18,73.28,chickpea
23,16,40,20.4,91.21,6.43,107.13,pomegranate
87,28,47,28.25,92.56,6.33,28.17,muskmelon
27,70,17,18.89,18.97,5.61,89.05,kidneybeans
42,49,49,39.38,95.04,6.82,166.25,papaya
32,26,33,30.32,48.5,5.8,93.4,mango
70,46,21,24.47,65.28,5.72,85.53,maize
25,69,18,26.2,65.05,6.99,49.14,lentil
30,72,82,21.08,15.89,7.74,70.44,chickpea
104,22,50,28.41,90.28,6.38,23.17,muskmelon
25,71,19,29.32,61.71,6.48,105.79,pigeonpeas
39,30,27,29.02,48.83,4.9,94.28,mango
84,9,51,25.27,87.04,6.34,50.17,watermelon
94,47,34,24.55,77.84,6.71,182.45,jute
45,55,22,32.12,71.82,7.59,65.23,blackgram
27,22,36,24.63,90.56,6.81,99.84,pomegranate
22,133,199,22.49,91.75,5.38,118.88,apple
117,15,52,24.5,82.69,6.75,53.3,watermelon
49,61,50,32.32,94.01,6.87,265.48,papaya
31,127,201,22.83,92.43,6.21,100.28,apple
39,14,6,27.38,90.92,7.69,116.19,orange
106,85,50,28.42,77.77,6.38,117.16,banana
124,50,19,24.18,83.84,7.38,74.98,cotton
25,129,197,29.87,80.79,5.94,71.07,grapes
30,66,84,17.47,15.55,7.65,86.76,chickpea
95,33,31,26.08,61.1,6.09,151.57,coffee
79,53,39,23.26,85.45,6.88,237.04,rice
115,56,20,23.78,83.19,7.05,83.07,cotton
26,30,29,29.26,50.2,6.66,94.1,mango
48,67,52,29.78,90.25,6.79,120.05,papaya
30,58,21,20.71,20.49,5.58,103.72,kidneybeans
60,76,17,26.05,72.59,7.01,67.01,blackgram
34,59,82,19.84,13.0,6.85,68.78,chickpea
22,19,37,23.03,87.09,6.23,104.75,pomegranate
24,53,18,26.1,54.84,7.72,56.25,mothbeans
25,134,199,17.88,81.49,5.58,67.48,grapes
43,39,29,33.61,50.25,6.84,95.92,mango
41,69,17,30.32,73.01,7.81,71.58,blackgram
85,51,43,25.32,77.55,6.82,177.65,jute
28,51,19,23.15,51.17,8.77,76.94,mothbeans
32,48,20,34.34,81.56,6.65,55.33,mungbean
72,50,39,24.14,79.13,6.59,176.2,jute
34,12,40,23.55,89.98,6.23,106.17,pomegranate
56,76,23,23.75,64.6,7.3,62.54,blackgram
94,37,29,26.04,61.46,6.71,181.33,coffee
26,59,21,22.1,19.85,5.52,113.86,kidneybeans
31,19,10,16.93,90.25,7.5,109.72,orange
22,75,21,20.34,21.35,5.61,136.57,kidneybeans
32,17,36,20.87,85.82,6.32,103.08,pomegranate
96,24,52,26.23,86.51,6.41,41.1,watermelon
98,53,22,20.05,59.43,6.23,64.13,maize
118,9,54,27.5,90.73,6.19,22.46,muskmelon
98,86,46,26.69,80.59,6.02,106.49,banana
23,73,21,20.34,65.26,7.07,50.48,lentil
29,22,39,19.99,86.46,5.8,106.38,pomegranate
32,123,198,22.84,93.8,6.13,112.0,apple
29,71,14,17.68,21.17,5.88,117.88,kidneybeans
98,80,53,28.64,82.34,6.44,101.29,banana
81,42,44,24.89,84.58,6.34,216.47,rice
45,69,18,28.9,62.51,7.02,60.95,blackgram
19,10,38,24.03,88.07,5.29,103.44,pomegranate
24,26,28,32.17,53.42,5.23,91.32,mango
95,7,49,27.45,93.41,6.44,26.48,muskmelon
34,71,21,33.15,65.0,7.66,145.26,pigeonpeas
20,74,19,19.31,19.44,5.7,138.41,kidneybeans
90,79,48,28.72,77.38,6.0,88.87,banana
88,23,31,26.33,56.35,6.75,164.18,coffee
16,75,17,25.96,63.96,6.04,47.09,lentil
30,36,22,27.05,53.53,4.38,52.77,mothbeans
112,71,54,28.3,76.81,6.3,118.49,banana
73,55,21,24.12,72.58,6.13,71.92,maize
17,18,30,27.86,94.84,6.24,153.52,coconut
74,47,44,21.65,83.93,6.84,226.62,rice
69,49,38,25.22,74.7,7.25,154.4,jute
54,66,24,27.57,66.0,7.37,71.96,blackgram
72,56,17,18.95,70.94,5.66,77.05,maize
82,48,19,21.54,67.08,6.56,66.28,maize
24,130,202,37.87,80.21,5.83,71.14,grapes
33,56,18,34.21,84.79,6.96,48.2,mungbean
29,133,200,20.7,82.64,5.87,70.98,grapes
100,45,44,23.7,83.71,6.22,235.47,rice
121,17,50,25.91,86.99,6.69,41.54,watermelon
50,63,50,41.7,91.16,6.96,214.82,papaya
51,53,45,41.17,92.22,6.9,190.37,papaya
37,71,80,20.93,17.99,7.29,85.2,chickpea
74,57,40,25.86,71.98,6.48,159.65,jute
27,67,21,34.28,69.84,5.21,138.73,pigeonpeas
35,67,75,18.61,14.1,8.06,81.17,chickpea
73,48,17,21.22,69.18,6.24,103.14,maize
45,50,51,29.15,89.67,6.83,92.29,papaya
33,71,19,22.36,17.25,5.8,102.58,kidneybeans
35,71,82,18.88,17.87,7.48,84.53,chickpea
16,135,203,22.25,93.52,5.95,112.39,apple
27,54,77,21.03,15.8,6.91,66.29,chickpea
31,17,10,24.58,91.31,6.97,106.35,orange
21,19,8,30.65,92.23,6.47,109.98,orange
112,27,31,26.69,61.61,6.51,160.95,coffee
104,15,33,25.61,65.08,6.63,145.75,coffee
33,70,19,23.05,19.96,5.92,100.66,kidneybeans
23,20,12,20.8,92.08,6.91,114.33,orange
36,15,11,19.29,91.73,6.17,118.29,orange
26,67,21,29.22,51.43,7.53,158.93,pigeonpeas
111,23,32,26.27,59.49,7.05,169.3,coffee
82,47,18,24.27,74.36,6.02,100.43,maize
122,62,22,25.81,76.59,6.95,83.17,cotton
113,51,18,24.79,79.12,5.92,86.49,cotton
22,73,22,34.37,63.46,5.41,138.7,pigeonpeas
34,49,21,26.67,67.07,8.08,25.85,mothbeans
51,62,18,31.27,71.55,6.81,66.18,blackgram
31,17,28,27.39,94.36,5.51,119.06,coconut
18,65,23,21.16,21.41,5.83,117.96,kidneybeans
107,29,55,28.1,94.54,6.39,27.34,muskmelon
21,133,198,23.18,93.19,6.11,118.71,apple
87,48,41,23.19,81.09,6.42,185.37,jute
119,83,49,27.5,82.14,5.98,105.7,banana
78,52,42,25.65,70.82,6.86,187.62,jute
42,73,24,31.28,69.02,6.87,72.33,blackgram
26,68,78,21.15,14.65,7.6,67.01,chickpea
89,49,37,25.08,85.95,6.81,239.1,rice
22,132,201,22.79,90.91,6.02,106.93,apple
32,67,18,15.56,19.31,5.55,105.6,kidneybeans
31,63,19,25.76,60.9,7.48,46.51,lentil
98,10,51,26.11,85.42,6.34,51.7,watermelon
31,25,32,30.76,47.69,6.6,97.82,mango
14,18,32,26.68,93.64,6.26,171.27,coconut
28,25,30,27.53,96.62,5.93,170.64,coconut
53,55,46,43.84,94.14,6.96,184.39,papaya
25,28,39,22.04,89.16,6.25,99.22,pomegranate
90,55,41,23.03,73.83,7.09,164.84,jute
36,39,17,26.6,60.36,6.31,54.87,mothbeans
83,33,43,24.69,73.11,6.94,160.55,jute
31,123,199,22.57,92.37,6.12,106.53,apple
17,135,201,22.53,91.83,6.08,99.29,apple
30,20,29,30.55,47.54,6.23,93.01,mango
35,143,202,22.02,82.36,5.65,70.03,grapes
27,24,27,34.76,53.14,5.52,95.48,mango
29,61,20,33.53,62.45,6.43,202.38,pigeonpeas
46,65,22,25.23,71.88,6.89,69.61,blackgram
49,65,49,38.43,92.11,6.75,189.47,papaya
29,68,19,22.0,67.2,7.08,54.82,lentil
101,50,15,20.62,65.32,6.38,97.26,maize
131,50,22,24.75,75.77,7.07,96.94,cotton
99,20,47,25.07,82.67,6.43,53.81,watermelon
78,23,51,25.48,83.68,6.16,52.03,watermelon
85,51,38,25.48,85.22,6.67,278.22,rice
21,60,16,20.97,66.45,6.54,41.54,lentil
36,60,78,21.46,18.99,6.88,78.16,chickpea
86,46,42,24.73,76.22,6.81,156.56,jute
77,18,51,26.39,85.43,6.79,58.21,watermelon
17,68,23,34.49,53.25,5.64,171.4,pigeonpeas
20,43,19,27.89,58.68,5.57,43.75,mothbeans
17,16,40,21.57,86.61,5.86,109.82,pomegranate
52,62,79,20.14,19.46,6.39,84.73,chickpea
23,23,43,25.58,89.0,6.21,105.89,pomegranate
38,20,43,24.29,86.78,5.71,106.34,pomegranate
29,138,200,22.94,94.28,5.78,111.18,apple
25,130,201,21.47,81.65,6.29,70.71,grapes
24,37,21,33.92,89.38,6.65,47.98,mungbean
68,48,16,17.65,68.58,5.76,78.0,maize
72,47,22,21.93,60.89,6.23,86.17,maize
74,53,42,21.76,86.3,6.45,195.51,rice
25,42,20,28.45,59.59,8.19,56.66,mothbeans
96,50,16,23.1,67.73,6.13,69.75,maize
94,21,51,24.73,83.35,6.77,43.43,watermelon
114,34,31,25.92,50.69,6.21,158.23,coffee
36,66,20,18.75,20.35,5.65,92.78,kidneybeans
23,68,22,31.49,66.83,6.17,188.54,pigeonpeas
17,127,198,27.45,81.36,5.96,73.28,grapes
21,39,20,25.8,61.01,6.28,59.72,mothbeans
60,41,43,24.0,75.2,6.75,185.76,jute
46,65,20,27.26,66.47,6.77,76.2,blackgram
36,25,31,33.76,51.44,5.39,91.63,mango
101,24,32,23.67,47.9,6.92,141.67,coffee
109,19,48,28.4,90.96,6.38,24.53,muskmelon
36,58,52,33.09,92.77,6.96,146.76,papaya
77,25,52,25.84,84.31,6.7,43.06,watermelon
29,28,30,25.88,46.33,6.37,96.41,mango
123,7,45,26.31,82.37,6.72,46.77,watermelon
92,43,39,23.23,74.41,7.16,193.91,jute
116,17,51,24.82,84.71,6.3,46.54,watermelon
79,50,41,23.82,73.77,6.91,193.9,jute
34,62,17,26.49,62.4,7.05,47.66,mothbeans
32,51,23,29.46,85.5,6.19,41.98,mungbean
34,133,204,42.95,79.58,6.01,74.63,grapes
24,31,28,34.0,46.3,5.88,95.29,mango
41,20,29,26.17,92.8,5.88,176.86,coconut
22,28,29,26.55,94.22,6.22,209.72,coconut
