Crop,District,Soil,Rainfall,Temperature,Humidity,N,P,K,pH,Season,Irrigation,Yield
Maize,Amreli,Red,1057.4,27.1,57.0,48.8,62.7,110.5,8.45,Kharif,Tube Well,5.02
Rice,Surat,Red,2015.6,26.1,65.1,46.9,37.2,119.1,7.07,Kharif,Drip,4.26
Cotton,Ahmedabad,Sandy,1773.3,23.7,71.9,62.1,70.6,76.2,7.57,Kharif,Drip,2.69
Maize,Amreli,Red,1343.3,23.3,73.2,50.6,20.2,21.1,6.42,Kharif,Drip,4.66
Soybean,Vadodara,Sandy,841.5,25.1,69.7,57.6,33.6,92.0,8.11,Kharif,Rainfed,3.17
Barley,Ahmedabad,Clay,538.0,14.4,60.4,137.1,70.9,59.5,5.51,Rabi,Tube Well,4.45
Soybean,Vadodara,Clay,1318.3,19.4,51.7,20.6,36.2,84.3,7.69,Kharif,Tube Well,1.71
Barley,Amreli,Clay,468.9,20.3,72.0,115.7,83.7,117.7,5.53,Rabi,Tube Well,4.6
Wheat,Rajkot,Black,397.1,14.6,66.5,22.6,75.4,16.5,7.47,Rabi,Sprinkler,5.06
Cotton,Vadodara,Black,1279.5,23.5,67.1,90.7,51.7,92.9,7.03,Kharif,Rainfed,3.41
Rice,Ahmedabad,Clay,835.2,32.1,89.3,115.6,20.2,109.8,7.52,Summer,Drip,5.17
Cotton,Bhavnagar,Clay,1411.7,33.0,67.8,82.5,76.9,102.2,8.37,Kharif,Canal,3.28
Soybean,Bhavnagar,Alluvial,962.3,21.4,54.4,90.3,71.1,119.3,7.77,Kharif,Drip,4.2
Maize,Surat,Alluvial,1076.0,30.0,83.1,131.6,40.5,23.3,6.02,Kharif,Canal,5.92
Rice,Amreli,Clay,1955.4,23.8,92.1,123.7,47.2,93.2,7.36,Summer,Sprinkler,4.31
Barley,Vadodara,Clay,782.2,18.5,72.9,78.4,47.0,97.4,7.96,Rabi,Canal,4.61
Wheat,Vadodara,Black,829.6,13.4,55.3,135.5,76.7,66.4,7.79,Rabi,Rainfed,4.74
Barley,Surat,Red,642.0,12.7,45.5,117.5,20.6,39.5,6.86,Rabi,Drip,4.57
Barley,Rajkot,Sandy,690.1,13.6,45.5,72.4,41.8,93.1,7.24,Rabi,Drip,4.15
Barley,Ahmedabad,Alluvial,474.8,20.1,54.8,81.8,23.7,84.6,8.06,Rabi,Tube Well,4.88
Cotton,Junagadh,Clay,1458.5,35.4,88.0,136.3,69.7,33.4,5.69,Kharif,Drip,2.99
Cotton,Amreli,Red,2001.7,35.4,80.0,131.8,56.7,71.5,6.86,Kharif,Sprinkler,2.08
Barley,Surat,Black,889.4,16.9,55.8,36.0,13.8,96.4,7.21,Rabi,Rainfed,4.0
Rice,Surat,Clay,1119.3,22.2,68.9,57.1,19.4,118.5,6.43,Summer,Rainfed,4.75
Maize,Vadodara,Black,722.1,24.3,50.8,96.9,43.1,43.4,6.12,Rabi,Rainfed,5.76
Rice,Junagadh,Black,1622.8,25.7,94.5,57.2,29.4,44.2,8.19,Summer,Sprinkler,5.34
Soybean,Rajkot,Black,843.8,31.4,61.5,135.5,82.1,43.4,7.91,Kharif,Canal,4.6
Maize,Vadodara,Clay,1050.2,31.5,53.3,22.7,14.5,20.5,8.22,Kharif,Tube Well,5.05
Barley,Rajkot,Alluvial,435.6,17.5,57.2,33.2,43.6,48.2,5.61,Rabi,Sprinkler,4.87
Soybean,Bhavnagar,Clay,708.4,20.5,78.4,36.2,47.5,113.6,6.06,Kharif,Drip,3.39
Rice,Surat,Sandy,1731.2,31.7,88.6,34.0,38.8,116.7,8.27,Kharif,Canal,4.14
Maize,Ahmedabad,Red,543.6,20.1,64.5,78.0,31.1,52.4,5.99,Rabi,Canal,5.33
Soybean,Amreli,Alluvial,520.3,24.2,77.3,101.6,60.8,110.5,5.55,Kharif,Canal,4.45
Rice,Surat,Black,1013.0,24.5,73.6,134.7,68.7,84.5,7.95,Kharif,Drip,5.6
Cotton,Bhavnagar,Sandy,934.0,34.8,67.7,97.8,43.1,57.6,7.54,Kharif,Sprinkler,3.0
Wheat,Bhavnagar,Sandy,491.3,21.3,54.7,135.8,64.7,98.2,6.38,Rabi,Tube Well,5.09
Soybean,Surat,Black,853.9,23.4,60.0,52.2,78.9,22.3,7.53,Kharif,Rainfed,3.64
Wheat,Junagadh,Clay,383.8,15.8,66.9,126.2,27.7,63.7,6.91,Rabi,Drip,5.43
Soybean,Bhavnagar,Red,630.5,28.3,71.0,98.7,10.7,112.4,5.7,Kharif,Tube Well,4.2
Rice,Amreli,Black,1495.9,32.5,89.7,125.5,49.0,81.2,5.74,Kharif,Canal,5.3
Rice,Bhavnagar,Clay,1600.3,34.6,76.8,137.7,70.7,68.7,7.43,Kharif,Drip,5.17
Soybean,Rajkot,Sandy,1024.1,31.8,72.3,120.1,74.0,51.3,6.28,Kharif,Tube Well,3.44
Wheat,Amreli,Clay,648.4,25.7,68.4,86.7,85.8,68.0,8.16,Rabi,Drip,4.65
Wheat,Surat,Clay,650.6,19.7,57.4,56.7,84.2,76.8,6.72,Rabi,Sprinkler,5.77
Wheat,Junagadh,Sandy,554.3,18.3,58.8,44.4,22.5,107.4,6.8,Rabi,Canal,4.97
Barley,Surat,Red,623.9,19.8,59.6,104.8,24.2,41.5,7.93,Rabi,Sprinkler,4.43
Wheat,Surat,Sandy,643.5,14.0,40.3,117.0,24.1,78.7,6.51,Rabi,Drip,4.76
Cotton,Surat,Sandy,1648.7,29.3,65.7,114.9,11.0,45.8,5.52,Kharif,Sprinkler,2.82
Cotton,Junagadh,Red,2099.1,33.6,74.7,48.5,31.0,68.0,7.73,Kharif,Drip,1.83
Barley,Amreli,Red,793.3,16.1,63.2,71.2,81.1,103.7,7.08,Rabi,Sprinkler,4.85
Rice,Junagadh,Black,1781.1,32.2,93.3,119.9,59.9,84.9,6.14,Summer,Sprinkler,5.2
Wheat,Junagadh,Red,434.1,23.3,57.9,137.3,32.5,65.5,6.84,Rabi,Sprinkler,5.2
Cotton,Surat,Alluvial,1523.2,29.1,69.5,32.5,19.9,25.6,7.33,Kharif,Sprinkler,3.55
Soybean,Amreli,Black,1362.1,30.0,58.1,59.3,26.8,66.6,5.56,Kharif,Rainfed,3.0
Rice,Junagadh,Alluvial,1908.7,23.8,77.0,40.4,30.4,42.6,7.17,Kharif,Sprinkler,4.92
Cotton,Bhavnagar,Clay,955.5,25.9,88.1,62.1,75.0,48.5,5.99,Kharif,Canal,3.61
Soybean,Ahmedabad,Red,602.2,22.8,83.8,81.1,60.2,52.4,6.47,Kharif,Sprinkler,3.67
Wheat,Junagadh,Alluvial,436.8,22.7,57.2,60.7,21.8,73.0,7.76,Rabi,Drip,5.34
Rice,Ahmedabad,Sandy,1647.5,23.2,66.1,94.4,33.5,24.1,7.78,Summer,Sprinkler,4.29
Maize,Bhavnagar,Clay,875.0,23.4,68.7,121.0,56.7,21.5,7.47,Rabi,Canal,5.61
Soybean,Vadodara,Clay,817.1,22.2,69.6,21.0,16.6,28.2,6.06,Kharif,Drip,3.82
Wheat,Ahmedabad,Black,383.7,19.4,57.4,37.3,83.6,61.3,8.48,Rabi,Sprinkler,5.35
Barley,Rajkot,Red,809.6,23.0,68.8,106.8,76.6,36.1,6.86,Rabi,Canal,4.66
Soybean,Bhavnagar,Alluvial,1144.7,21.1,53.4,130.0,54.8,31.2,7.88,Kharif,Tube Well,3.05
Barley,Amreli,Sandy,521.0,13.4,49.5,119.8,88.4,66.9,5.53,Rabi,Drip,4.17
Rice,Bhavnagar,Black,905.1,35.2,76.0,129.5,72.4,94.3,7.32,Summer,Drip,5.64
Cotton,Rajkot,Alluvial,1825.2,32.9,91.2,45.9,16.7,65.7,7.04,Kharif,Canal,3.29
Cotton,Rajkot,Clay,954.7,34.1,90.2,98.4,50.2,90.8,5.52,Kharif,Tube Well,3.45
Barley,Junagadh,Red,581.5,22.2,43.8,44.7,21.8,98.7,5.69,Rabi,Rainfed,4.2
Rice,Ahmedabad,Sandy,1346.1,34.1,92.9,56.4,79.1,97.1,8.29,Kharif,Rainfed,4.24
Barley,Vadodara,Alluvial,831.3,12.4,59.7,45.7,37.3,97.4,6.08,Rabi,Sprinkler,3.85
Maize,Rajkot,Red,1001.1,27.3,70.7,108.4,55.7,22.0,5.85,Rabi,Sprinkler,5.48
Barley,Vadodara,Sandy,654.9,16.6,65.2,97.3,36.6,94.3,7.45,Rabi,Drip,4.71
Wheat,Surat,Sandy,736.1,23.7,64.1,81.5,46.7,82.4,7.54,Rabi,Rainfed,4.89
Cotton,Vadodara,Clay,2168.8,23.5,93.0,129.6,52.0,91.1,6.81,Kharif,Sprinkler,2.26
Wheat,Amreli,Black,571.3,14.3,44.1,111.3,84.2,63.1,7.48,Rabi,Drip,5.59
Barley,Amreli,Red,499.9,24.2,57.0,56.7,51.4,55.1,7.19,Rabi,Canal,4.83
Barley,Amreli,Clay,504.8,15.4,59.6,22.6,51.6,56.1,7.23,Rabi,Canal,4.61
Rice,Amreli,Clay,1159.6,28.4,65.9,67.7,55.7,115.1,7.05,Summer,Canal,6.11
Wheat,Bhavnagar,Red,811.9,26.0,50.2,62.9,85.3,89.7,6.39,Rabi,Canal,5.03
Cotton,Bhavnagar,Alluvial,2102.5,27.1,90.7,51.9,51.2,26.2,7.48,Kharif,Sprinkler,2.53
Wheat,Junagadh,Black,738.0,22.4,67.8,109.7,45.3,92.0,7.38,Rabi,Drip,5.89
Maize,Vadodara,Sandy,939.1,27.8,68.0,124.7,33.1,24.1,8.31,Rabi,Sprinkler,5.31
Cotton,Ahmedabad,Sandy,974.6,24.6,75.5,131.7,74.0,60.4,6.98,Kharif,Tube Well,3.69
Cotton,Bhavnagar,Red,1673.4,29.9,77.1,97.3,54.0,41.3,6.69,Kharif,Drip,3.6
Barley,Rajkot,Clay,841.2,22.1,60.5,102.7,85.1,41.2,7.11,Rabi,Drip,5.4
Wheat,Amreli,Sandy,787.8,18.7,67.8,63.2,85.1,71.1,7.29,Rabi,Drip,5.44
Wheat,Ahmedabad,Clay,580.9,19.1,42.2,120.1,72.8,34.5,7.4,Rabi,Tube Well,5.6
Cotton,Surat,Clay,1094.6,26.5,72.2,86.8,18.7,113.0,6.5,Kharif,Canal,4.23
Rice,Junagadh,Red,1995.5,24.4,73.1,54.3,31.7,104.8,5.6,Kharif,Canal,3.94
Maize,Vadodara,Alluvial,1341.2,18.1,51.7,43.0,23.4,34.0,7.52,Kharif,Tube Well,3.58
Rice,Amreli,Red,1235.2,35.8,90.0,76.4,54.4,103.5,6.94,Kharif,Sprinkler,4.95
Barley,Junagadh,Red,577.3,24.3,44.4,125.0,51.0,57.5,5.99,Rabi,Drip,4.78
Maize,Amreli,Red,717.4,25.8,77.9,20.5,60.5,77.6,6.45,Kharif,Rainfed,5.22
Barley,Vadodara,Sandy,674.1,19.4,49.3,127.9,84.2,57.3,8.17,Rabi,Canal,4.47
Cotton,Surat,Black,1466.3,23.7,92.8,74.5,68.8,53.6,5.56,Kharif,Drip,3.88
Soybean,Junagadh,Alluvial,1256.9,25.2,54.9,48.4,45.8,34.8,6.31,Kharif,Sprinkler,3.56
Barley,Rajkot,Red,698.4,15.5,50.6,112.5,36.2,40.4,6.01,Rabi,Rainfed,4.17
Soybean,Bhavnagar,Red,797.7,20.5,76.8,114.4,55.3,115.5,6.45,Kharif,Tube Well,3.65
Wheat,Ahmedabad,Clay,795.8,25.7,62.6,53.3,89.7,108.8,7.04,Rabi,Sprinkler,5.07
Wheat,Rajkot,Sandy,686.0,23.5,54.1,46.6,51.0,72.6,7.11,Rabi,Sprinkler,4.87
Soybean,Bhavnagar,Black,1288.1,29.2,83.0,31.8,31.2,67.0,8.04,Kharif,Sprinkler,3.67
Wheat,Ahmedabad,Sandy,568.5,15.8,52.2,105.5,54.4,109.9,7.31,Rabi,Drip,5.07
Maize,Bhavnagar,Black,820.3,21.5,71.6,79.9,89.1,63.5,5.72,Rabi,Tube Well,5.36
Rice,Surat,Red,1316.7,32.1,70.2,90.8,65.6,51.1,7.58,Kharif,Drip,5.38
Maize,Rajkot,Black,552.5,32.0,76.3,123.7,62.1,104.9,5.84,Rabi,Tube Well,6.24
Rice,Ahmedabad,Sandy,1518.5,30.2,70.4,108.2,25.1,26.9,7.14,Kharif,Canal,5.0
Soybean,Junagadh,Sandy,1222.4,29.3,58.6,93.8,45.5,81.4,8.09,Kharif,Tube Well,3.69
Maize,Amreli,Red,768.2,18.2,60.5,89.4,40.1,71.2,8.13,Rabi,Sprinkler,4.38
Maize,Vadodara,Alluvial,1354.2,32.0,58.2,107.2,40.2,15.9,5.53,Rabi,Sprinkler,4.79
Maize,Ahmedabad,Red,1003.9,22.2,55.8,68.9,28.6,71.2,6.1,Kharif,Tube Well,4.64
Barley,Junagadh,Black,379.0,12.8,50.7,127.6,61.3,95.9,5.92,Rabi,Drip,4.59
Rice,Vadodara,Black,1199.6,33.8,78.0,119.4,75.8,34.8,7.6,Kharif,Rainfed,4.97
Maize,Amreli,Black,1018.5,27.8,55.8,37.8,46.5,55.5,7.64,Rabi,Sprinkler,5.84
Wheat,Ahmedabad,Clay,786.0,24.4,49.9,72.6,38.4,22.6,7.52,Rabi,Rainfed,4.67
Soybean,Surat,Black,807.5,27.6,50.7,108.3,49.0,100.4,8.36,Kharif,Drip,4.16
Barley,Vadodara,Black,855.0,23.4,74.3,125.6,32.4,26.1,5.84,Rabi,Rainfed,4.49
Cotton,Ahmedabad,Black,1854.2,23.5,67.5,20.3,44.6,67.8,7.41,Kharif,Sprinkler,2.98
Soybean,Amreli,Sandy,1014.7,26.2,57.3,28.9,47.2,79.6,5.79,Kharif,Tube Well,3.18
Barley,Amreli,Sandy,557.9,18.5,43.1,93.1,33.1,31.8,7.13,Rabi,Drip,4.52
Rice,Rajkot,Clay,1457.2,32.1,80.9,67.5,35.8,79.1,8.32,Kharif,Rainfed,4.77
Maize,Amreli,Clay,918.1,31.7,56.0,62.9,68.4,116.2,5.97,Rabi,Rainfed,5.35
Rice,Surat,Red,847.3,30.3,70.6,61.5,37.8,64.3,6.5,Kharif,Drip,5.39
Soybean,Bhavnagar,Alluvial,1244.2,19.4,74.6,60.6,34.8,112.9,6.25,Kharif,Canal,2.63
Wheat,Vadodara,Alluvial,834.9,23.7,60.4,49.9,62.9,89.5,5.53,Rabi,Sprinkler,5.38
Wheat,Ahmedabad,Sandy,803.6,17.6,43.6,27.4,14.1,54.9,6.51,Rabi,Drip,4.94
Wheat,Surat,Alluvial,573.0,16.7,40.5,38.4,43.7,22.2,7.03,Rabi,Sprinkler,5.49
Cotton,Amreli,Clay,1424.3,25.1,86.8,104.9,22.3,111.0,5.69,Kharif,Canal,3.76
Soybean,Amreli,Alluvial,822.5,29.6,50.8,49.3,22.2,105.2,6.9,Kharif,Sprinkler,4.64
Soybean,Junagadh,Red,1384.4,30.0,74.1,132.6,67.8,35.0,6.83,Kharif,Tube Well,3.32
Soybean,Vadodara,Red,1222.7,24.0,58.2,139.3,86.5,103.6,7.57,Kharif,Tube Well,3.47
Wheat,Surat,Clay,459.4,25.1,40.6,72.5,11.7,65.8,7.0,Rabi,Canal,4.82
Barley,Ahmedabad,Clay,641.9,20.3,47.0,54.5,23.0,41.2,6.17,Rabi,Tube Well,4.64
Soybean,Ahmedabad,Alluvial,676.0,27.0,78.6,87.2,30.4,42.6,5.62,Kharif,Sprinkler,4.7
Soybean,Junagadh,Red,1135.6,29.0,65.9,103.8,41.0,31.8,6.69,Kharif,Drip,3.99
Wheat,Bhavnagar,Sandy,629.1,16.6,57.8,22.9,35.0,101.1,7.16,Rabi,Tube Well,4.23
Barley,Bhavnagar,Red,809.6,25.5,55.4,67.2,77.7,59.8,7.16,Rabi,Drip,4.58
Cotton,Junagadh,Red,1361.2,24.9,71.0,80.8,63.8,110.7,7.01,Kharif,Tube Well,3.84
Barley,Ahmedabad,Black,491.8,15.2,56.8,79.9,27.2,43.5,6.01,Rabi,Drip,5.01
Maize,Junagadh,Clay,1142.7,28.3,54.8,135.9,75.7,36.5,6.06,Kharif,Canal,5.8
Barley,Vadodara,Red,749.6,19.1,61.8,67.4,71.5,59.6,6.87,Rabi,Canal,5.28
Rice,Vadodara,Alluvial,2103.4,33.8,84.4,61.0,72.4,75.4,8.46,Summer,Sprinkler,3.52
Rice,Rajkot,Black,802.7,32.2,84.7,107.9,38.4,101.2,5.63,Kharif,Drip,5.44
Soybean,Junagadh,Red,1240.4,21.8,56.5,101.8,52.7,69.0,6.27,Kharif,Canal,3.26
Cotton,Rajkot,Clay,857.8,28.0,66.6,31.5,62.7,82.9,5.6,Kharif,Rainfed,3.16
Rice,Rajkot,Black,1524.4,22.2,72.9,81.7,55.9,112.2,7.44,Kharif,Rainfed,5.08
Barley,Rajkot,Sandy,721.7,19.8,67.6,108.7,60.0,118.6,7.1,Rabi,Canal,4.69
Cotton,Amreli,Alluvial,1210.8,34.3,87.9,22.7,50.1,43.8,7.45,Kharif,Tube Well,3.52
Barley,Bhavnagar,Red,785.4,18.7,58.8,112.5,62.9,58.0,8.19,Rabi,Sprinkler,4.79
Rice,Vadodara,Alluvial,870.0,24.2,88.7,63.0,19.5,119.6,7.86,Summer,Sprinkler,5.52
Cotton,Junagadh,Black,1987.2,27.1,82.7,80.5,61.7,117.2,5.67,Kharif,Sprinkler,2.82
Barley,Bhavnagar,Clay,658.3,16.6,45.4,121.9,51.7,113.0,7.92,Rabi,Canal,4.59
Soybean,Vadodara,Red,684.7,28.0,70.3,40.6,30.9,67.1,6.76,Kharif,Rainfed,3.87
Maize,Rajkot,Alluvial,1240.0,25.9,83.8,46.1,67.1,53.8,6.34,Rabi,Drip,5.85
Soybean,Junagadh,Alluvial,1147.0,28.2,53.5,106.1,64.4,102.2,5.62,Kharif,Tube Well,3.93
Cotton,Rajkot,Red,1581.7,34.8,76.7,121.4,10.0,32.7,5.59,Kharif,Rainfed,2.53
Barley,Surat,Black,866.2,13.7,47.4,23.5,44.7,44.2,8.11,Rabi,Canal,3.95
Rice,Vadodara,Black,928.6,28.2,95.0,120.2,81.5,101.4,5.81,Summer,Tube Well,5.7
Barley,Rajkot,Clay,722.4,14.8,42.8,120.4,16.3,24.6,6.78,Rabi,Sprinkler,4.45
Cotton,Amreli,Alluvial,1458.4,30.0,92.8,83.6,38.3,98.7,6.83,Kharif,Rainfed,4.11
Soybean,Rajkot,Sandy,1029.3,26.0,66.9,86.0,49.3,74.4,7.65,Kharif,Tube Well,3.47
Wheat,Vadodara,Clay,386.6,25.7,73.5,27.3,45.5,34.6,6.96,Rabi,Canal,4.41
Cotton,Bhavnagar,Sandy,2018.6,29.8,74.7,55.2,12.7,100.7,6.85,Kharif,Drip,2.52
Barley,Rajkot,Alluvial,848.4,23.7,45.2,105.0,44.8,41.3,7.56,Rabi,Sprinkler,4.82
Barley,Surat,Red,826.1,12.4,62.5,111.6,70.8,108.0,7.69,Rabi,Tube Well,4.09
Barley,Surat,Alluvial,693.5,17.8,59.6,71.5,87.3,78.4,7.75,Rabi,Tube Well,5.13
Wheat,Surat,Black,841.0,21.2,63.5,20.6,88.8,107.2,8.19,Rabi,Sprinkler,5.22
Rice,Ahmedabad,Sandy,1235.7,32.8,91.0,82.3,89.5,16.2,6.4,Kharif,Tube Well,4.85
Barley,Vadodara,Red,703.5,24.5,71.0,103.9,47.3,68.8,5.91,Rabi,Rainfed,4.71
Wheat,Vadodara,Alluvial,524.2,15.6,41.3,90.0,28.4,30.6,7.46,Rabi,Tube Well,5.46
Wheat,Surat,Red,794.1,20.9,50.6,138.0,31.9,36.3,6.83,Rabi,Sprinkler,5.53
Maize,Bhavnagar,Black,519.1,22.9,75.2,112.0,43.3,16.8,7.35,Rabi,Canal,5.69
Cotton,Junagadh,Black,1959.1,27.4,82.7,106.5,29.3,32.7,8.42,Kharif,Tube Well,2.83
Wheat,Vadodara,Black,472.4,15.7,57.9,58.4,23.4,42.6,5.61,Rabi,Rainfed,4.63
Barley,Ahmedabad,Black,760.9,24.8,73.5,21.3,89.2,86.7,7.43,Rabi,Canal,4.97
Maize,Bhavnagar,Clay,1262.1,26.4,73.9,139.2,28.6,80.5,6.88,Rabi,Canal,5.61
Wheat,Vadodara,Clay,553.6,13.0,71.3,126.6,78.4,103.7,6.94,Rabi,Rainfed,4.51
Soybean,Amreli,Sandy,875.3,21.2,58.1,128.2,76.7,73.1,7.35,Kharif,Rainfed,2.7
Maize,Bhavnagar,Black,900.9,30.2,66.2,22.5,28.2,64.9,6.77,Rabi,Drip,5.96
Maize,Vadodara,Alluvial,922.4,24.2,65.6,69.3,53.1,41.3,8.17,Kharif,Canal,5.69
Cotton,Bhavnagar,Black,1062.7,22.3,80.6,101.6,16.9,63.4,7.73,Kharif,Drip,3.71
Soybean,Vadodara,Red,720.4,28.0,70.9,45.4,78.1,59.9,8.39,Kharif,Tube Well,4.1
Soybean,Vadodara,Sandy,798.1,19.7,70.0,128.8,72.7,80.4,6.45,Kharif,Drip,3.61
Rice,Vadodara,Alluvial,1815.1,35.5,72.8,22.2,53.6,89.2,7.87,Kharif,Canal,4.02
Cotton,Vadodara,Clay,1706.7,28.3,94.1,30.1,37.8,59.0,5.55,Kharif,Tube Well,2.95
Cotton,Ahmedabad,Clay,1271.0,32.2,80.3,35.6,70.0,25.4,8.02,Kharif,Rainfed,3.09
Soybean,Junagadh,Alluvial,1341.7,18.2,70.6,80.2,79.9,23.8,7.54,Kharif,Canal,2.45
Rice,Vadodara,Black,858.8,28.6,76.9,57.2,46.1,55.3,6.8,Kharif,Rainfed,5.36
Cotton,Rajkot,Alluvial,1304.6,28.0,77.3,65.0,84.0,102.0,5.83,Kharif,Sprinkler,4.42
Rice,Vadodara,Sandy,1720.6,34.4,82.3,62.5,75.7,97.2,7.13,Summer,Tube Well,4.11
Maize,Bhavnagar,Red,732.7,28.1,81.8,48.3,82.7,47.5,8.43,Rabi,Canal,5.6
Rice,Rajkot,Clay,1345.1,35.2,77.8,86.6,16.4,98.0,6.77,Summer,Drip,5.03
Rice,Amreli,Alluvial,1379.7,25.3,79.7,124.7,67.0,75.9,5.77,Summer,Canal,6.11
Wheat,Surat,Sandy,487.5,17.8,52.3,123.1,20.1,74.4,5.93,Rabi,Drip,5.16
Wheat,Amreli,Alluvial,642.2,14.8,50.0,111.8,47.6,48.3,7.37,Rabi,Canal,5.5
Barley,Ahmedabad,Sandy,876.7,24.1,40.1,65.6,75.5,53.5,7.3,Rabi,Tube Well,3.87
Rice,Amreli,Black,2196.5,28.9,70.4,81.6,75.1,96.6,7.87,Kharif,Rainfed,3.85
Wheat,Amreli,Black,841.4,14.7,44.6,137.1,79.5,108.8,8.16,Rabi,Tube Well,5.41
Cotton,Junagadh,Alluvial,1266.3,27.6,77.7,95.1,32.9,116.8,7.33,Kharif,Canal,4.48
Maize,Surat,Black,637.8,21.8,70.7,93.2,22.3,98.3,7.86,Rabi,Tube Well,5.42
Cotton,Junagadh,Clay,1335.9,24.2,84.3,84.4,32.0,65.4,7.74,Kharif,Canal,3.61
Soybean,Rajkot,Clay,1172.1,29.9,63.2,55.6,81.2,119.9,7.51,Kharif,Rainfed,3.41
Wheat,Surat,Sandy,731.6,22.6,69.9,136.7,31.3,90.2,6.68,Rabi,Sprinkler,5.3
Barley,Rajkot,Black,680.1,16.0,70.8,59.3,33.2,43.3,5.93,Rabi,Canal,4.52
Soybean,Vadodara,Clay,515.1,25.3,74.4,133.1,24.3,25.8,5.66,Kharif,Drip,4.38
Barley,Ahmedabad,Black,464.6,18.5,71.9,59.2,49.9,115.6,7.7,Rabi,Tube Well,4.69
Maize,Vadodara,Black,1252.3,29.4,68.7,36.9,12.0,98.7,7.3,Kharif,Canal,5.48
Maize,Amreli,Red,975.8,26.3,60.4,24.2,13.0,17.8,7.72,Kharif,Canal,5.48
Soybean,Rajkot,Clay,1000.5,22.6,65.5,97.6,49.5,80.1,7.13,Kharif,Drip,4.01
Cotton,Vadodara,Alluvial,1547.9,31.5,91.2,71.9,43.0,95.2,7.25,Kharif,Rainfed,3.64
Cotton,Vadodara,Black,926.4,29.9,79.4,32.5,59.0,92.5,7.8,Kharif,Drip,3.87
Rice,Ahmedabad,Red,2011.6,26.2,69.8,72.2,42.2,75.5,7.25,Kharif,Sprinkler,4.34
Maize,Amreli,Alluvial,1013.0,22.7,50.3,42.8,85.3,69.7,8.49,Kharif,Rainfed,5.32
Cotton,Rajkot,Clay,1280.8,28.4,70.8,47.0,31.7,62.2,7.46,Kharif,Canal,3.85
Rice,Junagadh,Black,1749.0,28.7,69.8,58.5,28.0,107.2,6.95,Summer,Drip,5.57
Cotton,Surat,Clay,1695.5,28.9,65.5,60.2,24.7,86.4,5.67,Kharif,Tube Well,3.01
Rice,Amreli,Black,1365.3,24.9,84.5,124.5,69.9,106.2,7.11,Kharif,Canal,6.04
Maize,Surat,Black,850.6,25.2,82.5,124.9,20.8,33.1,6.57,Kharif,Sprinkler,6.27
Cotton,Bhavnagar,Alluvial,1973.4,29.4,71.2,83.0,54.4,93.0,6.16,Kharif,Drip,3.09
Soybean,Ahmedabad,Sandy,1124.3,31.0,75.1,111.8,23.4,59.1,6.96,Kharif,Rainfed,3.23
Barley,Ahmedabad,Black,816.2,25.9,63.8,132.4,76.2,103.7,7.21,Rabi,Rainfed,4.16
Soybean,Bhavnagar,Sandy,888.9,25.5,65.6,87.8,47.6,20.0,8.15,Kharif,Rainfed,3.63
Rice,Bhavnagar,Alluvial,1378.9,28.5,72.7,107.3,15.9,38.4,7.75,Summer,Drip,5.76
Cotton,Surat,Sandy,1063.5,26.0,79.3,134.5,29.8,91.8,6.82,Kharif,Rainfed,3.27
Rice,Vadodara,Alluvial,1815.6,23.0,93.7,43.2,80.6,100.0,8.4,Summer,Rainfed,3.88
Cotton,Bhavnagar,Sandy,986.2,22.3,66.5,51.6,15.2,53.7,8.0,Kharif,Drip,3.07
Wheat,Bhavnagar,Red,867.1,22.7,74.0,24.5,32.8,35.5,5.53,Rabi,Drip,4.67
Wheat,Amreli,Alluvial,402.2,26.0,49.4,122.2,23.2,91.8,7.07,Rabi,Drip,5.34
Soybean,Ahmedabad,Sandy,1218.7,30.0,66.9,114.0,21.6,66.7,6.68,Kharif,Tube Well,3.39
Maize,Junagadh,Black,1090.8,18.3,79.1,41.0,51.2,42.5,7.67,Rabi,Sprinkler,4.51
Rice,Rajkot,Alluvial,1850.7,26.7,86.3,25.7,42.6,89.0,6.18,Kharif,Sprinkler,4.75
Maize,Junagadh,Black,818.2,24.8,70.9,76.7,65.9,60.5,6.11,Kharif,Sprinkler,6.35
Soybean,Junagadh,Alluvial,952.2,30.8,74.7,106.7,16.8,38.1,5.53,Kharif,Canal,4.06
Soybean,Ahmedabad,Clay,805.0,29.5,54.6,40.8,37.3,57.9,6.55,Kharif,Drip,4.4
Wheat,Vadodara,Red,677.4,21.2,42.2,39.9,34.1,71.6,7.83,Rabi,Canal,5.15
Maize,Ahmedabad,Black,1249.9,27.9,70.2,126.8,66.0,36.2,6.79,Kharif,Tube Well,5.6
Cotton,Junagadh,Alluvial,1776.4,29.1,65.8,131.0,78.1,70.0,6.19,Kharif,Drip,4.03
Soybean,Bhavnagar,Red,729.9,25.1,83.8,89.0,81.2,83.3,6.93,Kharif,Sprinkler,4.41
Wheat,Rajkot,Red,420.8,24.0,60.6,126.7,85.0,20.6,7.0,Rabi,Sprinkler,5.37
Rice,Amreli,Clay,1192.8,29.8,86.3,36.1,75.1,78.6,8.35,Kharif,Sprinkler,5.19
Rice,Ahmedabad,Sandy,1074.8,24.9,84.4,121.5,47.8,91.3,8.5,Kharif,Drip,5.04
Cotton,Ahmedabad,Alluvial,1225.8,28.3,81.3,32.0,84.6,54.3,5.74,Kharif,Sprinkler,4.34
